Date,AAPL,MSFT,NVDA
2019-01-02,37.575218200683594,94.7896957397461,3.377354145050049
2019-01-03,33.83244323730469,91.30255889892578,3.173304557800293
2019-01-04,35.276729583740234,95.54899597167969,3.3766109943389893
2019-01-07,35.198204040527344,95.67083740234375,3.555370569229126
2019-01-08,35.869197845458984,96.36451721191406,3.4668586254119873
2019-01-09,36.47831726074219,97.74247741699219,3.5350401401519775
2019-01-10,36.59489822387695,97.11442565917969,3.6007418632507324
2019-01-11,36.235618591308594,96.36451721191406,3.6899991035461426
2019-01-14,35.69073486328125,95.66146087646484,3.7299158573150635
2019-01-15,36.421207427978516,98.43617248535156,3.7157845497131348
2019-01-16,36.866146087646484,98.7829818725586,3.69024658203125
2019-01-17,37.085052490234375,99.4766616821289,3.7616522312164307
2019-01-18,37.3134765625,100.96714782714844,3.8908255100250244
2019-01-22,36.47594451904297,99.064208984375,3.688511610031128
2019-01-23,36.623451232910156,100.02975463867188,3.7014036178588867
2019-01-24,36.33317947387695,99.5516586303711,3.9133877754211426
2019-01-25,37.537132263183594,100.46092987060547,3.9706599712371826
2019-01-28,37.18975830078125,98.50178527832031,3.4217348098754883
2019-01-29,36.80428695678711,96.49574279785156,3.2628090381622314
2019-01-30,39.31930160522461,99.72039794921875,3.406362771987915
2019-01-31,39.60245132446289,97.8924560546875,3.5640482902526855
2019-02-01,39.62147903442383,96.34577941894531,3.588345527648926
2019-02-04,40.74694061279297,99.1204605102539,3.6986758708953857
2019-02-05,41.444087982177734,100.50782775878906,3.7177679538726807
2019-02-06,41.4583625793457,99.39230346679688,3.7933876514434814
2019-02-07,40.673160552978516,98.67987823486328,3.655040740966797
2019-02-08,40.72095489501953,99.05485534667969,3.6736350059509277
2019-02-11,40.486778259277344,98.66116333007812,3.630990743637085
2019-02-12,40.83565139770508,100.198486328125,3.7480154037475586
2019-02-13,40.665992736816406,100.12348937988281,3.790412425994873
2019-02-14,40.81415557861328,100.20784759521484,3.8313212394714355
2019-02-15,40.72334289550781,101.44522857666016,3.9009902477264404
2019-02-19,40.84521484375,101.39835357666016,3.8836352825164795
2019-02-20,41.108062744140625,100.87114715576172,3.93099045753479
2019-02-21,40.87628173828125,102.99871063232422,3.862065315246582
2019-02-22,41.332679748535156,104.4673080444336,3.9468579292297363
2019-02-25,41.63376998901367,105.05095672607422,3.9344613552093506
2019-02-26,41.65767288208008,105.77587890625,3.8950395584106445
2019-02-27,41.78670883178711,105.59697723388672,3.8531394004821777
2019-02-28,41.37571334838867,105.4651870727539,3.82856822013855
2019-03-01,41.810604095458984,105.93587493896484,3.8829216957092285
2019-03-04,42.020896911621094,105.68173217773438,3.8911120891571045
2019-03-05,41.94441604614258,105.15453338623047,3.8846595287323
2019-03-06,41.70307922363281,105.20158386230469,3.773719072341919
2019-03-07,41.22038269042969,103.92130279541016,3.704474449157715
2019-03-08,41.318359375,104.03426361083984,3.73872447013855
2019-03-11,42.74971008300781,106.21831512451172,3.9993226528167725
2019-03-12,43.23002624511719,106.96202087402344,4.033573627471924
2019-03-13,43.42118835449219,107.79046630859375,4.184968948364258
2019-03-14,43.90388488769531,107.87516784667969,4.10902214050293
2019-03-15,44.47499465942383,109.11783599853516,4.214502811431885
2019-03-18,44.929019927978516,110.68053436279297,4.1931586265563965
2019-03-19,44.57297134399414,110.75586700439453,4.360934257507324
2019-03-20,44.96247863769531,110.63348388671875,4.328422546386719
2019-03-21,46.61845397949219,113.17525482177734,4.565195560455322
2019-03-22,45.65305709838867,110.19102478027344,4.405362129211426
2019-03-25,45.10106658935547,110.76528930664062,4.313034534454346
2019-03-26,44.635101318359375,111.00065612792969,4.389724254608154
2019-03-27,45.03655242919922,109.92744445800781,4.3805413246154785
2019-03-28,45.09628677368164,110.07804870605469,4.3991546630859375
2019-03-29,45.39021301269531,111.02887725830078,4.456488609313965
2019-04-01,45.69845962524414,112.04560089111328,4.523994445800781
2019-04-02,46.3627815246582,112.20561218261719,4.541864395141602
2019-04-03,46.68058776855469,112.9399185180664,4.681346893310547
2019-04-04,46.761837005615234,112.36566162109375,4.6724114418029785
2019-04-05,47.07486343383789,112.86459350585938,4.739175796508789
2019-04-08,47.815650939941406,112.90228271484375,4.76002311706543
2019-04-09,47.67226028442383,112.29036712646484,4.697231292724609
2019-04-10,47.939903259277344,113.14703369140625,4.767716884613037
2019-04-11,47.540836334228516,113.27880859375,4.753817081451416
2019-04-12,47.521724700927734,113.86248016357422,4.715846061706543
2019-04-15,47.607749938964844,113.9566421508789,4.584057807922363
2019-04-16,47.61252212524414,113.69303894042969,4.67117166519165
2019-04-17,48.53969192504883,114.63444519042969,4.6483378410339355
2019-04-18,48.714134216308594,116.14069366455078,4.623767852783203
2019-04-22,48.87422180175781,116.50782775878906,4.677623271942139
2019-04-23,49.57915115356445,118.08938598632812,4.732227325439453
2019-04-24,49.502689361572266,117.68458557128906,4.744636058807373
2019-04-25,49.05344009399414,121.58197784423828,4.638906478881836
2019-04-26,48.81926727294922,122.27861785888672,4.420001983642578
2019-04-29,48.89334487915039,122.16563415527344,4.450778484344482
2019-04-30,47.951847076416016,122.94703674316406,4.4922261238098145
2019-05-01,50.30559158325195,120.38640594482422,4.479074478149414
2019-05-02,49.97821044921875,118.81427764892578,4.546579837799072
2019-05-03,50.59950637817383,121.34663391113281,4.542112827301025
2019-05-06,49.81812286376953,120.64059448242188,4.463685512542725
2019-05-07,48.475162506103516,118.1646957397461,4.29640531539917
2019-05-08,48.484718322753906,118.15530395507812,4.316509246826172
